Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
PSOE,22.4,"±2,5",27.8,"22,8 – 31,8",       5 – 7
VOX,11.5,"±1,9",14.2,"13,5 – 15,2",3
CHA,6.5,"±1,5",7.8,"6,0 – 9,5",1 – 2
IU-MOVIMIENTO SUMAR,,"±0,9",3.6,"2,8 – 4,2",0 – 1
,2.2,,,,
PODEMOS-AV,2.2,"±0,9",3,"2,6 – 3,3",-
PAR,1.1,"±0,6",2.1,"1,3 – 3,1",-
SALF,1.5,"±0,7",1.8,"1,4 – 2,1",-
TERUEL EXISTE,0.5,"±0,4",0.9,"0,5 – 1,9",-
Otros partidos,0.7,"±0,5",1.5,"0,8 – 2,3",-
En blanco,2.5,"±0,9",2.9,"2,0 – 3,2",-
Voto Nulo,0.7,"±0,5",,,
Abstención (“No votaría”),3.7,"±1,1",,,
No sabe,15.5,"±0,9",,,
No contesta,1.9,"±0,8",,,
,,,,,
,,,,,
,,,,,
,,,,,
Como consecuencia del efecto de redondeo del segundo decimal el sumatorio puede no ser exactamente 100.,,,,,
,,,,,
* Intervalo de confianza (95%).,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,TERUEL. N=737,,,,
,Voto directo en la encuesta ,Margen teórico,Estimación (en % sobre el voto válido),Intervalo de la estimación (en %),Intervalo de escaños
,(en % sobre censo), de error*,,,
PP,25.8,"±3,2",31.6,"28,7 – 35,0",5 – 6
PSOE,18.2,"±2,8",24.1,"22,5 – 25,5",3 – 4
VOX,13.9,"±2,5",16.9,"14,8 – 19,5",2 – 3
TERUEL EXISTE,9,"±2,1",11.5,"10,0 – 12,4",1 – 2
CHA,3,"±2,0",3.8,"3,2 – 4,9",-
IU-MOVIMIENTO SUMAR,2.3,"±1,1",3.4,"2,3 – 4,0",-
SALF,2.2,"±1,1",2.8,"2,2 – 3,2",-
PAR,1.4,"±0,8",2.4,"1,6 – 3,7",-
PODEMOS-AV,0.8,"±0,6",1.3,"0,5 – 1,7",-
Otros partidos,1,"±0,7",1.8,"1,0 – 2,1",-
En blanco,1.1,"±0,8",0.4,"0,1 – 1,0",-
Voto Nulo,2.3,"±1,1",,,
Abstención (“No votaría”),1.8,"±1,0",,,
No sabe,15.2,"±2,6",,,
No contesta,1.9,"±1,0",,,
,,,,,
,,,,,
,,,,,
Como consecuencia del efecto de redondeo del segundo decimal el sumatorio puede no ser exactamente 100.,,,,,
,,,,,
* Intervalo de confianza (95%).,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,ZARAGOZA. N=1491,,,,
,Voto directo en la encuesta ,Margen teórico,Estimación (en % sobre el voto válido),Intervalo de la estimación (en %),Intervalo de escaños
,(en % sobre censo), de error*,,,
PP,28.1,"±2,3",35.2,"34,6 – 36,9",13 – 15
PSOE,22.1,"±2,1",27.5,"24,1 – 29,8",  9 – 12
VOX,11.7,"±1,6",14.9,"13,8 – 17,5",5 – 7
CHA,5.7,"±1,2",7.2,"6,4 – 8,2",2 – 3
IU-MOVIMIENTO SUMAR,,"±1,0",5.7,"4,4 – 6,7",1 – 2
,4.1,,,,
PODEMOS-AV,1.9,"±0,7",2.7,"2,4 – 3,1",0 – 1
SALF,1.5,"±0,6",1.8,"1,6 – 2,1",-
PAR,1,"±0,5",1.3,"1,1 – 1,5",-
TERUEL EXISTE,0.5,"±0,4",0.9,"0,7 – 1,5",-
Otros partidos,1.2,"±0,6",2.2,"1,0 – 3,6",-
En blanco,1.4,"±0,6",0.6,"0,4 – 1,5",-
Voto Nulo,0.3,"±0,3",,,
Abstención (“No votaría”),3.2,"±0,9",,,
No sabe,14.2,"±1,8",,,
No contesta,2.9,"±0,9",,,
,,,,,
,,,,,
Como consecuencia del efecto de redondeo del segundo decimal el sumatorio puede no ser exactamente 100.,,,,,
,,,,,
* Intervalo de confianza (95%).,,,,,
